tail,type,ownership,role,flights_matched,air_hours,days,routes,median_cruise_kt,median_max_FL,median_min_to_FL300,routes_list
5X-EQU,CRJ900,owned,short,47,71.8,11,22,454,360,18,BJM-EBB DAR-EBB EBB-BJM EBB-DAR EBB-HRE EBB-JNB EBB-JUB EBB-LUN EBB-MBA EBB-MGQ EBB-NBO EBB-ZNZ HRE-EBB JNB-EBB JRO-EBB JUB-EBB LUN-EBB LUN-HRE MBA-EBB MGQ-EBB NBO-EBB ZNZ-JRO
5X-KDP,CRJ900,owned,short,54,57.8,11,14,450,330,18,BJM-EBB DAR-EBB EBB-BJM EBB-DAR EBB-HRE EBB-JUB EBB-MBA EBB-MGQ EBB-NBO JUB-EBB LUN-EBB MBA-EBB MGQ-EBB NBO-EBB
5X-KOB,CRJ900,owned,short,49,65.1,9,19,450,340,19,BJM-EBB DAR-EBB EBB-BJM EBB-DAR EBB-HRE EBB-JUB EBB-LUN EBB-MBA EBB-MGQ EBB-NBO EBB-ZNZ HRE-EBB JNB-EBB JRO-EBB JUB-EBB LUN-EBB MBA-EBB MGQ-EBB NBO-EBB
5X-NIL,A330-800neo,owned,long,15,107.7,9,4,474,400,21,BOM-EBB EBB-BOM EBB-LGW LGW-EBB
ET-APL,737-800,wet lease (Ethiopian),medium,38,121.5,10,12,447,380,15,EBB-HRE EBB-JNB EBB-LOS EBB-LUN EBB-NBO HRE-EBB HRE-LUN JNB-EBB LOS-EBB LUN-EBB LUN-HRE NBO-EBB
