file,flight,date_local,origin,dest,dep_rwy,dep_rwy_hdg,arr_rwy,arr_rwy_hdg,dep_metar,dep_wind_from,dep_wind_kt,dep_gust_kt,dep_vis_sm,dep_wx,dep_temp_c,dep_headwind_kt,dep_crosswind_kt,dep_wind_favours,arr_metar,arr_wind_from,arr_wind_kt,arr_gust_kt,arr_vis_sm,arr_wx,arr_temp_c,arr_headwind_kt,arr_crosswind_kt,arr_wind_favours,dep_qnh_inhg
UR360-4178e32f.csv,UGD360,02SEP26,EBB,BJM,17,172.1,17,172.0,13:30,180.0,7.0,,6.21,M,28.0,6.9,1.0,17,12:00,180.0,14.0,,6.21,M,33.0,13.9,1.9,17,30.03
UR334-4178f107.csv,UGD334,02SEP26,JRO,EBB,09,87.0,17,172.1,13:00,70.0,8.0,,6.21,M,28.0,7.7,-2.3,09,14:30,180.0,6.0,,6.21,M,27.0,5.9,0.8,17,30.12
UR722-41793b26.csv,UGD722,02SEP26,LUN,EBB,10,95.2,17,172.1,15:00,130.0,12.0,,4.97,M,27.0,9.9,6.8,15,17:00,210.0,5.0,,6.21,M,24.0,3.9,3.1,17,30.12
UR361-41794f1d.csv,UGD361,02SEP26,BJM,EBB,17,172.0,17,172.1,,,,,,,,,,,16:00,180.0,4.0,,6.21,M,25.0,4.0,0.5,17,
UR342-4179a966.csv,UGD342,02SEP26,EBB,MBA,17,172.1,21,209.0,17:00,210.0,5.0,,6.21,M,24.0,3.9,3.1,17,18:00,160.0,6.0,,6.21,M,25.0,3.9,-4.5,15,30.03
UR430-4179f0a0.csv,UGD430,02SEP26,EBB,BOM,17,172.1,27,269.0,18:30,200.0,2.0,,6.21,M,23.0,1.8,0.9,,00:30,240.0,4.0,,1.86,BR,28.0,3.5,-1.9,27,30.03
UR322-417a1000.csv,UGD322,02SEP26,EBB,DAR,17,172.1,23,225.0,19:00,350.0,3.0,,6.21,M,23.0,-3.0,0.1,35,20:30,160.0,4.0,,6.21,M,23.0,1.7,-3.6,14,30.06
UR208-417a1e38.csv,UGD208,02SEP26,EBB,NBO,17,172.1,06,54.0,19:00,350.0,3.0,,6.21,M,23.0,-3.0,0.1,35,20:00,50.0,3.0,,6.21,M,15.0,3.0,-0.2,06,30.06
UR343-417a332c.csv,UGD343,02SEP26,MBA,EBB,21,209.0,17,172.1,19:30,260.0,3.0,,6.21,M,24.0,1.9,2.3,21,21:00,0.0,0.0,,6.21,M,22.0,-0.0,-0.0,,30.06
UR209-417a83ba.csv,UGD209,03SEP26,NBO,EBB,06,54.0,17,172.1,21:30,10.0,6.0,,6.21,M,15.0,4.3,-4.2,06,22:00,0.0,0.0,,6.21,M,22.0,-0.0,-0.0,,30.27
UR323-417a85db.csv,UGD323,03SEP26,DAR,EBB,23,225.0,17,172.1,21:30,150.0,4.0,,6.21,M,23.0,1.0,-3.9,14,22:30,0.0,0.0,,6.21,M,22.0,-0.0,-0.0,,30.06
UR431-417b497a.csv,UGD431,03SEP26,BOM,EBB,27,269.0,17,172.1,03:00,230.0,9.0,20.0,1.86,-SHRA,29.0,7.0,-5.7,27,09:00,140.0,2.0,,6.21,M,29.0,1.7,-1.1,,29.8
UR200-417b918b.csv,UGD200,03SEP26,EBB,NBO,17,172.1,06,54.0,04:30,60.0,3.0,,5.59,M,22.0,-1.1,-2.8,12,05:30,,2.0,,6.21,M,16.0,,,,30.06
UR201-417bd90e.csv,UGD201,03SEP26,NBO,EBB,06,54.0,17,172.1,07:00,,2.0,,6.21,M,17.0,,,,07:00,360.0,3.0,,5.59,M,28.0,-3.0,-0.4,35,30.3
UR722-417c552e.csv,UGD722,03SEP26,EBB,HRE,17,172.1,05,46.0,10:30,160.0,7.0,,6.21,M,30.0,6.8,-1.5,17,13:00,50.0,6.0,,5.59,M,26.0,6.0,0.4,05,30.06
UR120-417c6db7.csv,UGD120,03SEP26,EBB,JUB,17,172.1,13,130.0,10:30,160.0,7.0,,6.21,M,30.0,6.8,-1.5,17,,,,,,,,,,,30.06
UR121-417cddad.csv,UGD121,03SEP26,JUB,EBB,13,130.0,17,172.1,,,,,,,,,,,13:30,180.0,11.0,,6.21,M,28.0,10.9,1.5,17,
UR360-417cfd0a.csv,UGD360,03SEP26,EBB,BJM,17,172.1,17,172.0,13:30,180.0,11.0,,6.21,M,28.0,10.9,1.5,17,14:00,180.0,14.0,,6.21,M,30.0,13.9,1.9,17,29.97
UR361-417d6a6a.csv,UGD361,03SEP26,BJM,EBB,17,172.0,17,172.1,15:00,180.0,16.0,,6.21,M,30.0,15.8,2.2,17,16:00,140.0,6.0,,6.21,M,26.0,5.1,-3.2,12,29.85
UR722-417db548.csv,UGD722,03SEP26,LUN,EBB,10,95.2,17,172.1,14:00,,4.0,,4.97,M,29.0,,,,19:00,180.0,4.0,,6.21,M,24.0,4.0,0.5,17,30.03
UR322-417e1d45.csv,UGD322,03SEP26,EBB,DAR,17,172.1,05,45.0,18:30,180.0,4.0,,6.21,M,24.0,4.0,0.5,17,20:00,140.0,5.0,,6.21,M,23.0,-0.4,5.0,14,30.0
UR208-417e2cfc.csv,UGD208,03SEP26,EBB,NBO,17,172.1,06,54.0,19:00,180.0,4.0,,6.21,M,24.0,4.0,0.5,17,20:00,70.0,9.0,,6.21,M,17.0,8.7,2.5,06,30.0
UR902-417e77f4.csv,UGD902,04SEP26,EBB,LOS,17,172.1,18R,180.0,20:30,210.0,4.0,,6.21,M,24.0,3.2,2.5,17,01:00,,2.0,,6.21,M,25.0,,,,30.03
UR209-417e92a9.csv,UGD209,04SEP26,NBO,EBB,06,54.0,17,172.1,21:00,40.0,7.0,,6.21,M,16.0,6.8,-1.7,06,22:00,320.0,3.0,,6.21,M,23.0,-2.5,1.6,30,30.21
UR323-417e9f66.csv,UGD323,04SEP26,DAR,EBB,05,45.0,17,172.1,21:00,170.0,2.0,,6.21,M,22.0,-1.1,1.6,,23:00,290.0,3.0,,6.21,M,22.0,-1.4,2.7,30,30.03
UR520-417f5329.csv,UGD520,04SEP26,EBB,MGQ,17,172.1,,,02:00,350.0,5.0,,6.21,M,21.0,-5.0,0.2,35,03:00,210.0,15.0,,6.21,M,25.0,,,,29.97
UR903-417f62b7.csv,UGD903,04SEP26,LOS,EBB,18R,180.0,17,172.1,02:00,,2.0,,6.21,M,25.0,,,,06:30,360.0,4.0,,5.59,M,26.0,-4.0,-0.5,35,29.97
UR200-417fae7e.csv,UGD200,04SEP26,EBB,NBO,17,172.1,06,54.0,04:30,350.0,3.0,,5.59,M,20.0,-3.0,0.1,35,05:30,230.0,3.0,,6.21,M,15.0,-3.0,0.2,24,30.06
UR334-417fd52c.csv,UGD334,04SEP26,EBB,ZNZ,17,172.1,18,174.0,06:00,360.0,2.0,,4.97,M,25.0,-2.0,-0.3,,06:00,220.0,7.0,,6.21,M,25.0,4.9,5.0,18,30.09
UR521-417fcc42.csv,UGD521,04SEP26,MGQ,EBB,,,17,172.1,06:00,210.0,15.0,,6.21,M,28.0,,,,07:30,330.0,2.0,,5.59,M,28.0,-1.9,0.8,,29.97
UR201-417ff073.csv,UGD201,04SEP26,NBO,EBB,06,54.0,17,172.1,07:00,,2.0,,6.21,M,19.0,,,,07:30,330.0,2.0,,5.59,M,28.0,-1.9,0.8,,30.27
UR710-41801c3b.csv,UGD710,04SEP26,EBB,JNB,17,172.1,21L,194.0,08:30,180.0,3.0,,6.21,M,29.0,3.0,0.4,17,12:30,170.0,8.0,,6.21,VCTS,12.0,7.3,-3.3,21R,30.09
UR110-4180268d.csv,UGD110,04SEP26,EBB,LGW,17,172.1,26L,258.0,08:30,180.0,3.0,,6.21,M,29.0,3.0,0.4,17,16:50,250.0,10.0,,6.21,M,19.0,9.9,-1.4,26R,30.09
UR334-4180775f.csv,UGD334,04SEP26,JRO,EBB,09,87.0,17,172.1,10:30,70.0,7.0,,6.21,M,27.0,6.7,-2.0,09,11:30,170.0,14.0,,6.21,M,30.0,14.0,-0.5,17,30.12
UR120-4180920f.csv,UGD120,04SEP26,EBB,JUB,17,172.1,13,130.0,11:00,150.0,12.0,,6.21,M,30.0,11.1,-4.5,17,,,,,,,,,,,30.0
UR121-4180fd53.csv,UGD121,04SEP26,JUB,EBB,13,130.0,17,172.1,,,,,,,,,,,14:00,140.0,7.0,,6.21,M,27.0,5.9,-3.7,12,
UR360-4181197a.csv,UGD360,04SEP26,EBB,BJM,17,172.1,17,172.0,13:30,140.0,8.0,,6.21,M,27.0,6.8,-4.3,12,14:00,180.0,22.0,,5.59,M,30.0,21.8,3.1,17,29.94
UR711-41813ab4.csv,UGD711,04SEP26,JNB,EBB,21R,194.0,17,172.1,14:00,120.0,18.0,,6.21,M,13.0,5.0,-17.3,21R,18:00,110.0,6.0,,6.21,M,25.0,2.8,-5.3,12,30.15
UR206-418165b0.csv,UGD206,04SEP26,EBB,NBO,17,172.1,06,54.0,14:30,130.0,8.0,,6.21,M,27.0,5.9,-5.4,12,15:30,80.0,13.0,,6.21,M,22.0,11.7,5.7,06,29.94
UR361-41818775.csv,UGD361,04SEP26,BJM,EBB,17,172.0,17,172.1,15:00,180.0,22.0,,5.59,M,29.0,21.8,3.1,17,16:00,130.0,9.0,,6.21,M,26.0,6.7,-6.0,12,29.83
UR342-41819339.csv,UGD342,04SEP26,EBB,MBA,17,172.1,21,209.0,15:30,120.0,10.0,,6.21,M,27.0,6.1,-7.9,12,17:00,140.0,7.0,,6.21,M,25.0,2.5,-6.5,15,29.94
UR207-4181d8cb.csv,UGD207,04SEP26,NBO,EBB,06,54.0,17,172.1,16:00,90.0,12.0,,6.21,M,21.0,9.7,7.1,06,17:30,130.0,5.0,,6.21,M,25.0,3.7,-3.4,12,30.18
UR343-41821bed.csv,UGD343,04SEP26,MBA,EBB,21,209.0,17,172.1,18:00,140.0,6.0,,6.21,M,25.0,2.2,-5.6,15,19:30,160.0,3.0,,6.21,M,24.0,2.9,-0.6,17,29.97
UR720-418217cc.csv,UGD720,04SEP26,EBB,LUN,17,172.1,10,95.2,18:00,110.0,6.0,,6.21,M,25.0,2.8,-5.3,12,,,,,,,,,,,29.97
UR322-4182471c.csv,UGD322,04SEP26,EBB,DAR,17,172.1,05,45.0,19:00,160.0,3.0,,6.21,M,24.0,2.9,-0.6,17,20:30,110.0,5.0,,6.21,M,24.0,2.1,4.5,14,30.0
UR111-41824e5d.csv,UGD111,04SEP26,LGW,EBB,26L,258.0,17,172.1,19:20,280.0,11.0,,6.21,M,17.0,10.2,4.1,26R,03:30,40.0,5.0,,6.21,M,21.0,-3.4,-3.7,35,30.06
UR902-418298cd.csv,UGD902,04SEP26,EBB,LOS,,,18R,180.0,20:30,0.0,0.0,,6.21,M,24.0,,,,01:00,170.0,3.0,,6.21,M,25.0,3.0,-0.5,18L,30.03
UR323-4182b881.csv,UGD323,05SEP26,DAR,EBB,05,45.0,17,172.1,21:00,100.0,6.0,,6.21,M,24.0,3.4,4.9,14,23:00,0.0,0.0,,6.21,M,23.0,-0.0,-0.0,,30.03
UR720-418311f2.csv,UGD720,05SEP26,HRE,EBB,05,46.0,17,172.1,23:00,90.0,9.0,,5.59,M,20.0,6.5,6.3,05,02:00,30.0,5.0,,6.21,M,21.0,-3.9,-3.1,35,30.18
UR520-41836393.csv,UGD520,05SEP26,EBB,MGQ,17,172.1,,,01:00,30.0,5.0,,6.21,M,21.0,-3.9,-3.1,35,03:00,220.0,17.0,,6.21,M,25.0,,,,30.0
UR903-41837427.csv,UGD903,05SEP26,LOS,EBB,18R,180.0,17,172.1,02:00,,2.0,,6.21,M,25.0,,,,06:30,20.0,3.0,,5.59,M,26.0,-2.7,-1.4,35,29.94
UR200-4183c10c.csv,UGD200,05SEP26,EBB,NBO,35,352.11,06,54.0,05:00,360.0,13.0,,6.21,M,22.0,12.9,1.8,35,05:30,,2.0,,6.21,M,17.0,,,,30.06
UR521-4183ce5c.csv,UGD521,05SEP26,MGQ,EBB,,,17,172.1,05:00,230.0,9.0,,6.21,M,27.0,,,,07:30,110.0,3.0,,6.21,M,29.0,1.4,-2.7,12,29.97
UR201-41840565.csv,UGD201,05SEP26,NBO,EBB,06,54.0,17,172.1,07:00,,3.0,,6.21,M,21.0,,,,08:00,110.0,8.0,,6.21,M,29.0,3.7,-7.1,12,30.27
UR710-418421df.csv,UGD710,05SEP26,EBB,JNB,17,172.1,03R,14.0,08:00,110.0,8.0,,6.21,M,29.0,3.7,-7.1,12,12:00,30.0,20.0,,6.21,M,15.0,19.2,5.5,03L,30.09
UR722-41846f6f.csv,UGD722,05SEP26,EBB,HRE,17,172.1,05,46.0,10:00,170.0,10.0,,6.21,M,29.0,10.0,-0.4,17,12:00,60.0,10.0,,1.86,HZ,27.0,9.7,2.4,05,30.03
UR120-41847582.csv,UGD120,05SEP26,EBB,JUB,17,172.1,13,130.0,10:00,170.0,10.0,,6.21,M,29.0,10.0,-0.4,17,,,,,,,,,,,30.03
UR430-41849343.csv,UGD430,05SEP26,EBB,BOM,17,172.1,27,269.0,11:00,210.0,10.0,,6.21,M,29.0,7.9,6.1,17,17:30,210.0,3.0,,1.55,BR,27.0,1.5,-2.6,27,30.0
UR121-4184d091.csv,UGD121,05SEP26,JUB,EBB,13,130.0,17,172.1,,,,,,,,,,,13:00,140.0,10.0,,6.21,M,29.0,8.5,-5.3,12,
UR711-41850d68.csv,UGD711,05SEP26,JNB,EBB,03L,14.0,17,172.1,13:30,10.0,18.0,,6.21,M,15.0,18.0,-1.3,03L,17:00,180.0,3.0,,6.21,M,26.0,3.0,0.4,17,30.24
UR722-41858892.csv,UGD722,05SEP26,LUN,EBB,10,95.2,17,172.1,14:00,200.0,4.0,,4.97,TS HZ,25.0,-1.0,3.9,15,18:00,240.0,3.0,,6.21,M,24.0,1.1,2.8,30,30.12
UR720-41861399.csv,UGD720,05SEP26,EBB,LUN,17,172.1,10,95.2,18:30,260.0,4.0,,6.21,M,24.0,0.1,4.0,30,,,,,,,,,,,29.94
UR208-41862a43.csv,UGD208,05SEP26,EBB,NBO,17,172.1,06,54.0,19:00,310.0,4.0,,6.21,M,24.0,-3.0,2.7,30,19:30,70.0,8.0,,6.21,M,19.0,7.7,2.2,06,29.97
UR322-41863182.csv,UGD322,05SEP26,EBB,DAR,17,172.1,05,45.0,19:00,310.0,4.0,,6.21,M,24.0,-3.0,2.7,30,20:00,140.0,3.0,,6.21,M,22.0,-0.3,3.0,14,29.97
UR431-41864480.csv,UGD431,06SEP26,BOM,EBB,27,269.0,35,352.11,20:00,140.0,3.0,,1.86,BR,27.0,-1.9,-2.3,14,01:30,360.0,10.0,,5.59,-RA,22.0,9.9,1.4,35,29.85
UR209-41868450.csv,UGD209,06SEP26,NBO,EBB,06,54.0,17,172.1,20:00,60.0,8.0,,6.21,M,18.0,8.0,0.8,06,22:00,330.0,6.0,,5.59,M,23.0,-5.6,2.3,35,30.24
UR720-41868c7a.csv,UGD720,05SEP26,LUN,HRE,10,95.2,05,46.0,,,,,,,,,,,,,,,,,,,,,
UR323-4186910e.csv,UGD323,06SEP26,DAR,EBB,05,45.0,35,352.11,21:00,170.0,4.0,,6.21,M,21.0,-2.3,3.3,14,23:00,360.0,8.0,,5.59,M,22.0,7.9,1.1,35,30.03
UR720-4186bf6c.csv,UGD720,06SEP26,HRE,EBB,05,46.0,35,352.11,23:00,80.0,5.0,,1.86,HZ,17.0,4.1,2.8,05,02:00,320.0,10.0,,5.59,M,22.0,8.5,-5.3,30,30.27
UR520-41871519.csv,UGD520,06SEP26,EBB,MGQ,35,352.11,,,02:00,320.0,10.0,,5.59,M,22.0,8.5,-5.3,30,04:00,210.0,7.0,,6.21,M,26.0,,,,30.0
UR200-41876032.csv,UGD200,06SEP26,EBB,NBO,17,172.1,06,54.0,04:30,340.0,2.0,,5.59,M,23.0,-2.0,0.4,,05:30,,2.0,,6.21,M,17.0,,,,30.06
UR334-418787fa.csv,UGD334,06SEP26,EBB,ZNZ,17,172.1,18,174.0,06:00,0.0,0.0,,5.59,M,24.0,-0.0,-0.0,,07:00,190.0,8.0,,,M,26.0,7.7,2.2,18,30.09
UR521-41877c32.csv,UGD521,06SEP26,MGQ,EBB,,,17,172.1,06:00,220.0,9.0,,6.21,M,25.0,,,,08:00,20.0,2.0,,5.59,M,27.0,-1.8,-0.9,,30.0
UR201-41879c5d.csv,UGD201,06SEP26,NBO,EBB,06,54.0,17,172.1,06:30,0.0,0.0,,6.21,M,19.0,0.0,-0.0,,07:30,270.0,3.0,,5.59,M,26.0,-0.4,3.0,30,30.3
UR900-4187ab98.csv,UGD900,06SEP26,EBB,LOS,17,172.1,18R,180.0,07:30,270.0,3.0,,5.59,M,26.0,-0.4,3.0,30,11:00,220.0,9.0,,6.21,M,30.0,6.9,5.8,18L,30.12
UR110-4187ba0c.csv,UGD110,06SEP26,EBB,LGW,17,172.1,26L,258.0,08:00,20.0,2.0,,5.59,M,27.0,-1.8,-0.9,,15:50,180.0,8.0,,6.21,M,22.0,1.7,-7.8,26R,30.12
UR334-4187dd10.csv,UGD334,06SEP26,ZNZ,JRO,18,174.0,09,87.0,08:00,180.0,10.0,,,M,28.0,9.9,1.0,18,09:30,,5.0,,6.21,M,27.0,,,,30.09
UR320-4187e58c.csv,UGD320,06SEP26,EBB,DAR,17,172.1,23,225.0,09:00,20.0,4.0,,5.59,M,28.0,-3.5,-1.9,35,10:00,170.0,9.0,,6.21,M,32.0,5.2,-7.4,14,30.09
UR334-418827d6.csv,UGD334,06SEP26,JRO,EBB,09,87.0,17,172.1,10:30,70.0,10.0,,6.21,M,28.0,9.6,-2.9,09,11:00,350.0,2.0,,6.21,M,30.0,-2.0,0.1,,30.12
UR120-41883fc1.csv,UGD120,06SEP26,EBB,JUB,35,352.11,13,130.0,11:00,350.0,2.0,,6.21,M,30.0,2.0,-0.1,,,,,,,,,,,,30.03
